idClass,idSubject,idTeacher,location
12345,134089,5001,TC
12346,134089,5001,D9
12347,134089,5001,C1
12348,134089,5001,C1
12349,134089,5001,D6
12350,134089,5002,D9
12351,134089,5002,TC
12352,134089,5002,D5
12353,134089,5002,B1
12354,134089,5002,B1
12355,134089,5003,D4
12356,134089,5003,D4
12357,134089,5003,B9
12358,134089,5003,D4
12359,134089,5003,D4
12360,134089,5004,D9
12361,134089,5004,C1
12362,134089,5004,D5
12363,134089,5004,C2
12364,134089,5004,D5
12365,134089,5005,D5
12366,134089,5005,D6
12367,134089,5005,C1
12368,134089,5005,D4
12369,134089,5005,TC
12370,134090,5006,D5
12371,134090,5006,D3
12372,134090,5006,C2
12373,134090,5006,D4
12374,134090,5006,C1
12375,134090,5007,TC
12376,134090,5007,B7
12377,134090,5007,D9
12378,134090,5007,D6
12379,134090,5007,D6
12380,134090,5008,D9
12381,134090,5008,B7
12382,134090,5008,B1
12383,134090,5008,D9
12384,134090,5008,D5
12385,134090,5009,B7
12386,134090,5009,TC
12387,134090,5009,D5
12388,134090,5009,D4
12389,134090,5009,B1
12390,134090,5010,D4
12391,134090,5010,D5
12392,134090,5010,C1
12393,134090,5010,B9
12394,134090,5010,D4
12395,134091,5011,B7
12396,134091,5011,B1
12397,134091,5011,TC
12398,134091,5011,B9
12399,134091,5011,D3
12400,134091,5012,D6
12401,134091,5012,TC
12402,134091,5012,D5
12403,134091,5012,B1
12404,134091,5012,B1
12405,134091,5013,TC
12406,134091,5013,B7
12407,134091,5013,C1
12408,134091,5013,D3
12409,134091,5013,D9
12410,134091,5014,C1
12411,134091,5014,D6
12412,134091,5014,D9
12413,134091,5014,B7
12414,134091,5014,B7
12415,134091,5015,D6
12416,134091,5015,D6
12417,134091,5015,D9
12418,134091,5015,D4
12419,134091,5015,D9
12420,134092,5016,C1
12421,134092,5016,D3
12422,134092,5016,D4
12423,134092,5016,D5
12424,134092,5016,D5
12425,134092,5017,D3
12426,134092,5017,B7
12427,134092,5017,D5
12428,134092,5017,D5
12429,134092,5017,D6
12430,134092,5018,D3
12431,134092,5018,D4
12432,134092,5018,C1
12433,134092,5018,C1
12434,134092,5018,B7
12435,134092,5019,B7
12436,134092,5019,D6
12437,134092,5019,B7
12438,134092,5019,C2
12439,134092,5019,D9
12440,134092,5020,B1
12441,134092,5020,B1
12442,134092,5020,D6
12443,134092,5020,B1
12444,134092,5020,D4
12445,134099,5021,B7
12446,134099,5021,D9
12447,134099,5021,D9
12448,134099,5021,D3
12449,134099,5021,D4
12450,134099,5022,B9
12451,134099,5022,C2
12452,134099,5022,D4
12453,134099,5022,B7
