idStudent,idClass,score
170000,12345,3.44
170001,12345,4.93
170002,12345,7.28
170003,12345,8.13
170004,12345,1.0
170005,12345,7.84
170006,12345,2.38
170007,12345,0.22
170008,12345,6.07
170009,12345,7.4
170010,12345,0.56
170011,12345,2.11
170012,12345,9.95
170013,12345,4.99
170014,12345,5.91
170015,12345,4.99
170016,12345,3.81
170017,12345,8.55
170018,12345,2.16
170019,12345,5.54
170020,12345,5.55
170021,12345,3.3
170022,12345,3.44
170023,12345,3.92
170024,12345,2.27
170025,12345,9.54
170026,12345,0.57
170027,12345,9.88
170028,12345,4.28
170029,12345,5.55
170030,12346,2.59
170031,12346,8.39
170032,12346,7.18
170033,12346,6.59
170034,12346,9.66
170035,12346,6.73
170036,12346,8.83
170037,12346,1.73
170038,12346,2.71
170039,12346,3.94
170040,12346,0.62
170041,12346,8.41
170042,12346,2.02
170043,12346,7.66
170044,12346,8.0
170045,12346,3.62
170046,12346,1.71
170047,12346,6.01
170048,12346,6.12
170049,12346,0.94
170050,12346,8.46
170051,12346,5.81
170052,12346,1.39
170053,12346,1.59
170054,12346,3.78
170055,12346,0.91
170056,12346,4.7
170057,12346,9.54
170058,12346,3.41
170059,12346,7.5
170060,12347,9.44
170061,12347,7.65
170062,12347,7.6
170063,12347,4.32
170064,12347,1.15
170065,12347,8.18
170066,12347,4.72
170067,12347,3.94
170068,12347,1.2
170069,12347,8.16
170070,12347,4.67
170071,12347,8.06
170072,12347,2.65
170073,12347,5.51
170074,12347,5.86
170075,12347,8.98
170076,12347,6.73
170077,12347,7.34
170078,12347,6.67
170079,12347,8.62
170080,12347,1.45
170081,12347,9.4
170082,12347,1.13
170083,12347,3.69
170084,12347,0.1
170085,12347,6.26
170086,12347,6.04
170087,12347,9.41
170088,12347,6.63
170089,12347,1.53
170090,12348,4.9
170091,12348,4.67
170092,12348,7.93
170093,12348,4.58
170094,12348,6.37
170095,12348,4.05
170096,12348,2.17
170097,12348,7.88
170098,12348,6.92
170099,12348,3.59
170100,12348,9.67
170101,12348,1.11
170102,12348,3.14
170103,12348,4.25
170104,12348,9.69
170105,12348,4.85
170106,12348,4.12
170107,12348,0.04
170108,12348,2.61
170109,12348,4.63
170110,12348,1.5
170111,12348,8.37
170112,12348,8.57
170113,12348,2.27
170114,12348,7.17
170115,12348,2.2
170116,12348,0.39
170117,12348,5.27
170118,12348,5.65
170119,12348,6.29
170120,12349,9.59
170121,12349,2.51
170122,12349,8.29
170123,12349,1.16
170124,12349,0.3
170125,12349,7.03
170126,12349,8.36
170127,12349,2.82
170128,12349,3.67
170129,12349,9.26
170130,12349,7.22
170131,12349,1.64
170132,12349,5.97
170133,12349,7.71
170134,12349,0.48
170135,12349,1.83
170136,12349,7.93
170137,12349,2.84
170138,12349,9.11
170139,12349,7.9
170140,12349,8.89
170141,12349,3.33
170142,12349,7.94
170143,12349,4.82
170144,12349,4.91
170145,12349,3.05
170146,12349,8.15
170147,12349,7.38
170148,12349,3.05
170149,12349,6.69
170150,12350,5.95
170151,12350,8.46
170152,12350,3.08
170153,12350,3.27
170154,12350,0.53
170155,12350,8.83
170156,12350,3.23
170157,12350,2.39
170158,12350,7.28
170159,12350,4.6
170160,12350,9.0
170161,12350,6.55
170162,12350,6.19
170163,12350,9.98
170164,12350,6.33
170165,12350,7.02
170166,12350,3.18
170167,12350,8.34
170168,12350,5.08
170169,12350,4.15
170170,12350,6.85
170171,12350,5.74
170172,12350,9.65
170173,12350,2.1
170174,12350,9.96
170175,12350,7.07
170176,12350,8.54
170177,12350,4.56
170178,12350,9.04
170179,12350,4.9
170180,12351,5.2
170181,12351,8.24
170182,12351,8.77
170183,12351,7.18
170184,12351,9.38
170185,12351,7.8
170186,12351,1.63
170187,12351,5.58
170188,12351,2.01
170189,12351,3.42
170190,12351,1.58
170191,12351,9.16
170192,12351,1.34
170193,12351,8.09
170194,12351,3.87
170195,12351,8.88
170196,12351,0.72
170197,12351,4.8
170198,12351,2.83
170199,12351,6.4
170200,12351,4.36
170201,12351,7.39
170202,12351,5.87
170203,12351,1.98
170204,12351,0.97
170205,12351,9.2
170206,12351,7.55
170207,12351,3.5
170208,12351,4.76
170209,12351,8.61
170210,12352,1.26
170211,12352,3.21
170212,12352,1.25
170213,12352,7.83
170214,12352,2.79
170215,12352,2.61
170216,12352,8.17
170217,12352,4.93
170218,12352,6.41
170219,12352,9.2
170220,12352,1.33
170221,12352,0.03
170222,12352,3.25
170223,12352,5.78
170224,12352,5.07
170225,12352,7.02
170226,12352,8.91
170227,12352,5.36
170228,12352,0.19
170229,12352,6.47
170230,12352,8.43
170231,12352,0.28
170232,12352,8.06
170233,12352,7.51
170234,12352,9.02
170235,12352,5.66
170236,12352,3.81
170237,12352,4.52
170238,12352,9.57
170239,12352,0.27
170240,12353,8.68
170241,12353,4.55
170242,12353,1.02
170243,12353,4.42
170244,12353,8.07
170245,12353,0.24
170246,12353,3.23
170247,12353,7.44
170248,12353,6.07
170249,12353,1.78
170250,12353,3.07
170251,12353,9.33
170252,12353,8.6
170253,12353,3.8
170254,12353,9.21
170255,12353,4.04
170256,12353,3.47
170257,12353,9.79
170258,12353,8.0
170259,12353,8.45
170260,12353,5.37
170261,12353,0.63
170262,12353,3.5
170263,12353,4.82
170264,12353,7.01
170265,12353,1.76
170266,12353,9.26
170267,12353,4.89
170268,12353,0.02
170269,12353,2.76
170270,12354,4.15
170271,12354,0.01
170272,12354,4.32
170273,12354,9.56
170274,12354,7.2
170275,12354,7.79
170276,12354,2.32
170277,12354,9.48
170278,12354,1.45
170279,12354,3.46
170280,12354,2.97
170281,12354,1.23
170282,12354,4.41
170283,12354,6.53
170284,12354,5.77
170285,12354,0.92
170286,12354,8.76
170287,12354,1.0
170288,12354,5.68
170289,12354,9.43
170290,12354,7.24
170291,12354,4.2
170292,12354,8.56
170293,12354,4.75
170294,12354,2.84
170295,12354,2.77
170296,12354,4.87
170297,12354,0.56
170298,12354,9.14
170299,12354,7.19
170300,12355,2.55
170301,12355,9.81
170302,12355,1.14
170303,12355,2.17
170304,12355,9.12
170305,12355,0.02
170306,12355,3.01
170307,12355,9.83
170308,12355,5.48
170309,12355,0.18
170310,12355,5.55
170311,12355,8.77
170312,12355,9.22
170313,12355,4.14
170314,12355,6.33
170315,12355,1.85
170316,12355,3.7
170317,12355,8.53
170318,12355,6.41
170319,12355,9.13
170320,12355,5.39
170321,12355,0.86
170322,12355,4.08
170323,12355,2.2
170324,12355,4.19
170325,12355,9.02
170326,12355,3.42
170327,12355,4.74
170328,12355,7.42
170329,12355,7.48
170330,12356,8.86
170331,12356,4.89
170332,12356,1.49
170333,12356,0.75
170334,12356,6.73
170335,12356,1.38
170336,12356,6.29
170337,12356,4.85
170338,12356,4.67
170339,12356,5.57
170340,12356,2.12
170341,12356,9.02
170342,12356,9.36
170343,12356,0.8
170344,12356,3.03
170345,12356,3.93
170346,12356,4.99
170347,12356,1.36
170348,12356,0.28
170349,12356,1.08
170350,12356,4.95
170351,12356,5.8
170352,12356,2.21
170353,12356,2.4
170354,12356,5.59
170355,12356,5.56
170356,12356,4.85
170357,12356,3.62
170358,12356,0.56
170359,12356,1.56
170360,12357,6.31
170361,12357,5.33
170362,12357,0.74
170363,12357,7.23
170364,12357,9.46
170365,12357,9.41
170366,12357,8.59
170367,12357,6.14
170368,12357,0.48
170369,12357,4.1
170370,12357,9.29
170371,12357,5.79
170372,12357,4.35
170373,12357,3.01
170374,12357,9.79
170375,12357,1.0
170376,12357,4.35
170377,12357,1.56
170378,12357,7.86
170379,12357,6.65
170380,12357,4.63
170381,12357,2.43
170382,12357,6.48
170383,12357,5.44
170384,12357,0.45
170385,12357,1.73
170386,12357,9.22
170387,12357,3.16
170388,12357,8.3
170389,12357,4.96
170390,12358,7.3
170391,12358,0.46
170392,12358,4.23
170393,12358,2.14
170394,12358,9.3
170395,12358,4.41
170396,12358,7.77
170397,12358,9.78
170398,12358,1.11
170399,12358,3.22
170400,12358,4.95
170401,12358,3.47
170402,12358,7.13
170403,12358,3.64
170404,12358,7.84
170405,12358,4.31
170406,12358,8.17
170407,12358,0.54
170408,12358,6.22
170409,12358,0.82
170410,12358,8.72
170411,12358,5.07
170412,12358,8.0
170413,12358,3.85
170414,12358,9.4
170415,12358,7.46
170416,12358,7.45
170417,12358,7.27
170418,12358,4.55
170419,12358,6.74
170420,12359,7.05
170421,12359,1.87
170422,12359,7.21
170423,12359,5.59
170424,12359,7.87
170425,12359,2.38
170426,12359,3.88
170427,12359,7.01
170428,12359,2.95
170429,12359,1.36
170430,12359,7.04
170431,12359,5.83
170432,12359,7.87
170433,12359,6.38
170434,12359,2.01
170435,12359,3.61
170436,12359,2.06
170437,12359,0.75
170438,12359,1.6
170439,12359,0.48
170440,12359,9.21
170441,12359,7.17
170442,12359,0.04
170443,12359,7.5
170444,12359,2.07
170445,12359,3.14
170446,12359,2.21
170447,12359,5.42
170448,12359,0.1
170449,12359,7.3
170450,12360,3.41
170451,12360,0.87
170452,12360,0.98
170453,12360,3.61
170454,12360,4.33
170455,12360,2.78
170456,12360,2.38
170457,12360,9.09
170458,12360,8.38
170459,12360,6.47
170460,12360,7.89
170461,12360,8.2
170462,12360,3.67
170463,12360,8.9
170464,12360,0.14
170465,12360,1.22
170466,12360,0.89
170467,12360,6.46
170468,12360,4.95
170469,12360,3.32
170470,12360,9.41
170471,12360,0.78
170472,12360,1.57
170473,12360,0.98
170474,12360,6.28
170475,12360,7.02
170476,12360,5.85
170477,12360,3.2
170478,12360,5.22
170479,12360,6.32
170480,12361,6.36
170481,12361,7.58
170482,12361,0.05
170483,12361,7.05
170484,12361,0.11
170485,12361,5.93
170486,12361,0.83
170487,12361,1.1
170488,12361,1.36
170489,12361,2.66
170490,12361,8.79
170491,12361,2.92
170492,12361,0.4
170493,12361,4.21
170494,12361,1.7
170495,12361,0.75
170496,12361,0.06
170497,12361,8.38
170498,12361,7.01
170499,12361,8.25
170500,12361,3.06
170501,12361,6.87
170502,12361,1.16
170503,12361,0.44
170504,12361,3.72
170505,12361,5.83
170506,12361,4.23
170507,12361,0.58
170508,12361,8.68
170509,12361,0.63
170510,12362,5.19
170511,12362,2.97
170512,12362,8.03
170513,12362,3.22
170514,12362,6.29
170515,12362,6.03
170516,12362,2.8
170517,12362,5.8
170518,12362,1.21
170519,12362,5.47
170520,12362,5.96
170521,12362,1.0
170522,12362,9.35
170523,12362,2.52
170524,12362,3.33
170525,12362,1.92
170526,12362,9.73
170527,12362,7.43
170528,12362,4.45
170529,12362,7.78
170530,12362,0.34
170531,12362,1.68
170532,12362,2.54
170533,12362,3.76
170534,12362,9.81
170535,12362,5.59
170536,12362,7.75
170537,12362,7.28
170538,12362,7.85
170539,12362,0.84
170540,12363,1.94
170541,12363,2.32
170542,12363,1.23
170543,12363,9.8
170544,12363,0.97
170545,12363,8.59
170546,12363,9.43
170547,12363,6.62
170548,12363,1.89
170549,12363,0.96
170550,12363,7.32
170551,12363,7.01
170552,12363,7.29
170553,12363,4.72
170554,12363,6.16
170555,12363,9.04
170556,12363,9.74
170557,12363,1.29
170558,12363,3.21
170559,12363,1.67
170560,12363,0.7
170561,12363,7.74
170562,12363,2.69
170563,12363,9.64
170564,12363,2.19
170565,12363,2.63
170566,12363,9.94
170567,12363,0.04
170568,12363,3.37
170569,12363,5.05
170570,12364,5.79
170571,12364,7.88
170572,12364,6.93
170573,12364,4.83
170574,12364,5.48
170575,12364,7.74
170576,12364,5.24
170577,12364,2.35
170578,12364,2.74
170579,12364,8.11
170580,12364,8.24
170581,12364,7.76
170582,12364,0.36
170583,12364,7.75
170584,12364,1.1
170585,12364,7.19
170586,12364,5.45
170587,12364,0.93
170588,12364,9.61
170589,12364,4.21
170590,12364,0.45
170591,12364,9.43
170592,12364,1.67
170593,12364,2.16
170594,12364,8.58
170595,12364,2.33
170596,12364,1.45
170597,12364,0.03
170598,12364,4.91
170599,12364,2.52
170600,12365,4.93
170601,12365,2.82
170602,12365,2.67
170603,12365,9.3
170604,12365,5.7
170605,12365,3.54
170606,12365,5.11
170607,12365,8.24
170608,12365,7.35
170609,12365,4.81
170610,12365,5.29
170611,12365,3.97
170612,12365,1.68
170613,12365,1.6
170614,12365,9.18
170615,12365,3.8
170616,12365,4.38
170617,12365,2.55
170618,12365,8.89
170619,12365,6.32
170620,12365,4.66
170621,12365,1.08
170622,12365,9.27
170623,12365,4.77
170624,12365,1.5
170625,12365,2.52
170626,12365,8.2
170627,12365,8.6
170628,12365,1.81
170629,12365,4.86
170630,12366,9.07
170631,12366,2.93
170632,12366,0.46
170633,12366,4.85
170634,12366,1.93
170635,12366,7.22
170636,12366,9.22
170637,12366,4.97
170638,12366,1.25
170639,12366,7.39
170640,12366,0.33
170641,12366,2.08
170642,12366,2.77
170643,12366,8.25
170644,12366,0.37
170645,12366,6.7
170646,12366,0.16
170647,12366,0.69
170648,12366,9.94
170649,12366,3.49
170650,12366,6.37
170651,12366,2.7
170652,12366,6.31
170653,12366,9.23
170654,12366,1.96
170655,12366,0.94
170656,12366,0.05
170657,12366,4.95
170658,12366,0.23
170659,12366,9.11
170660,12367,7.82
170661,12367,8.02
170662,12367,9.06
170663,12367,0.45
170664,12367,6.98
170665,12367,9.49
170666,12367,1.09
170667,12367,3.44
170668,12367,7.49
170669,12367,0.79
170670,12367,5.35
170671,12367,3.47
170672,12367,2.47
170673,12367,4.53
170674,12367,0.66
170675,12367,1.26
170676,12367,1.14
170677,12367,2.53
170678,12367,3.34
170679,12367,1.21
170680,12367,3.06
170681,12367,3.26
170682,12367,9.37
170683,12367,7.35
170684,12367,4.61
170685,12367,6.47
170686,12367,4.48
170687,12367,7.32
170688,12367,4.58
170689,12367,9.38
170690,12368,8.99
170691,12368,4.03
170692,12368,5.34
170693,12368,9.59
170694,12368,9.24
170695,12368,0.05
170696,12368,6.19
170697,12368,6.58
170698,12368,9.0
170699,12368,5.28
170700,12368,8.57
170701,12368,5.34
170702,12368,2.12
170703,12368,8.29
170704,12368,4.17
170705,12368,3.47
170706,12368,4.24
170707,12368,8.7
170708,12368,7.39
170709,12368,1.16
170710,12368,5.26
170711,12368,5.03
170712,12368,1.01
170713,12368,3.91
170714,12368,6.63
170715,12368,5.5
170716,12368,2.26
170717,12368,7.13
170718,12368,1.35
170719,12368,1.98
170720,12369,8.47
170721,12369,6.94
170722,12369,4.35
170723,12369,9.15
170724,12369,6.7
170725,12369,9.82
170726,12369,8.44
170727,12369,3.52
170728,12369,4.64
170729,12369,7.84
170730,12369,7.48
170731,12369,8.94
170732,12369,3.13
170733,12369,7.86
170734,12369,8.78
170735,12369,4.88
170736,12369,1.31
170737,12369,5.68
170738,12369,6.65
170739,12369,6.91
170740,12369,5.7
170741,12369,9.55
170742,12369,1.2
170743,12369,8.77
170744,12369,2.28
170745,12369,4.98
170746,12369,5.89
170747,12369,4.92
170748,12369,5.19
170749,12369,3.84
170750,12370,2.26
170751,12370,1.52
170752,12370,0.94
170753,12370,9.15
170754,12370,8.99
170755,12370,2.81
170756,12370,0.47
170757,12370,7.04
170758,12370,9.27
170759,12370,4.45
170760,12370,0.78
170761,12370,5.44
170762,12370,0.94
170763,12370,2.26
170764,12370,8.38
170765,12370,0.8
170766,12370,8.78
170767,12370,9.94
170768,12370,6.29
170769,12370,2.79
170770,12370,2.73
170771,12370,4.99
170772,12370,3.71
170773,12370,2.52
170774,12370,3.29
170775,12370,9.43
170776,12370,5.92
170777,12370,0.98
170778,12370,6.6
170779,12370,6.2
170780,12371,5.48
170781,12371,0.34
170782,12371,2.49
170783,12371,1.13
170784,12371,6.4
170785,12371,4.26
170786,12371,5.88
170787,12371,9.75
170788,12371,2.26
170789,12371,1.36
170790,12371,3.69
170791,12371,9.68
170792,12371,5.37
170793,12371,7.71
170794,12371,5.49
170795,12371,4.02
170796,12371,7.88
